nom;fichier;est_diagramme
abstraction;standard.abstraction.png;non
acceptcalleventaction;standard.acceptcalleventaction.png;non
acceptchangeeventaction;standard.acceptchangeeventaction.png;non
acceptsignalaction;standard.acceptsignalaction.png;non
accepttimeeventaction;standard.accepttimeeventaction.png;non
actionstate;standard.actionstate.png;non
activity;standard.activity.png;non
activitydiagram.horizontal;standard.activitydiagram.horizontal.png;oui
activitydiagram;standard.activitydiagram.png;oui
activitydiagram.vertical;standard.activitydiagram.vertical.png;oui
activityedge;standard.activityedge.png;non
activityfinalnode;standard.activityfinalnode.png;non
activitygraph;standard.activitygraph.png;non
activityparameternode;standard.activityparameternode.png;non
activitypartition;standard.activitypartition.png;non
actor;standard.actor.png;non
artifact;standard.artifact.png;non
association;standard.association.png;non
associationbinary;standard.associationbinary.png;non
associationend.aggregation;standard.associationend.aggregation.png;non
associationend.composition;standard.associationend.composition.png;non
associationend;standard.associationend.png;non
attribute;standard.attribute.png;non
attributelink;standard.attributelink.png;non
behaviorparameter;standard.behaviorparameter.png;non
bindableinstance;standard.bindableinstance.png;non
binding;standard.binding.png;non
bpmnadhocsubprocess;standard.bpmnadhocsubprocess.png;non
bpmnbehavior;standard.bpmnbehavior.png;non
bpmnboundaryevent;standard.bpmnboundaryevent.png;non
bpmnbusinessruletask;standard.bpmnbusinessruletask.png;non
bpmncallactivity;standard.bpmncallactivity.png;non
bpmncollaboration;standard.bpmncollaboration.png;non
bpmncollaborationdiagram;standard.bpmncollaborationdiagram.png;oui
bpmncomplexbehaviordefinition;standard.bpmncomplexbehaviordefinition.png;non
bpmncomplexgateway;standard.bpmncomplexgateway.png;non
bpmndataassociation;standard.bpmndataassociation.png;non
bpmndatainput;standard.bpmndatainput.png;non
bpmndataobject;standard.bpmndataobject.png;non
bpmndataoutput;standard.bpmndataoutput.png;non
bpmndatastate;standard.bpmndatastate.png;non
bpmndatastore;standard.bpmndatastore.png;non
bpmnendevent;standard.bpmnendevent.png;non
bpmnendpoint;standard.bpmnendpoint.png;non
bpmneventbasedgateway;standard.bpmneventbasedgateway.png;non
bpmnexclusivegateway;standard.bpmnexclusivegateway.png;non
bpmngateway;standard.bpmngateway.png;non
bpmngroup;standard.bpmngroup.png;non
bpmnimplicitthrowevent;standard.bpmnimplicitthrowevent.png;non
bpmninclusivegateway;standard.bpmninclusivegateway.png;non
bpmninterface;standard.bpmninterface.png;non
bpmnintermediatecatchevent;standard.bpmnintermediatecatchevent.png;non
bpmnintermediatethrowevent;standard.bpmnintermediatethrowevent.png;non
bpmnitemdefinition;standard.bpmnitemdefinition.png;non
bpmnlane;standard.bpmnlane.png;non
bpmnlaneset;standard.bpmnlaneset.png;non
bpmnloopcharacteristics;standard.bpmnloopcharacteristics.png;non
