"nom";"fichier";"est_diagramme";"est_preview";"chemin_source";"chemin_destination"
"activity";"activity.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\activity.png";"icons-study/07-icones-sources/sysml1/activity.png"
"actor";"actor.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\actor.png";"icons-study/07-icones-sources/sysml1/actor.png"
"aggregation";"aggregation.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\aggregation.png";"icons-study/07-icones-sources/sysml1/aggregation.png"
"allocate";"allocate.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\allocate.png";"icons-study/07-icones-sources/sysml1/allocate.png"
"association";"association.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\association.png";"icons-study/07-icones-sources/sysml1/association.png"
"associationclass";"associationclass.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\associationclass.png";"icons-study/07-icones-sources/sysml1/associationclass.png"
"attributelink";"attributelink.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\attributelink.png";"icons-study/07-icones-sources/sysml1/attributelink.png"
"backback";"backback.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\backback.png";"icons-study/07-icones-sources/sysml1/backback.png"
"bindableinstance";"bindableinstance.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\bindableinstance.png";"icons-study/07-icones-sources/sysml1/bindableinstance.png"
"binding";"binding.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\binding.png";"icons-study/07-icones-sources/sysml1/binding.png"
"bindingconnector";"bindingconnector.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\bindingconnector.png";"icons-study/07-icones-sources/sysml1/bindingconnector.png"
"block";"block.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\block.png";"icons-study/07-icones-sources/sysml1/block.png"
"block48";"block48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\block48.png";"icons-study/07-icones-sources/sysml1/block48.png"
"blockdiagram";"blockdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\blockdiagram.png";"icons-study/07-icones-sources/sysml1/blockdiagram.png"
"class";"class.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\class.png";"icons-study/07-icones-sources/sysml1/class.png"
"collaboration";"collaboration.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\collaboration.png";"icons-study/07-icones-sources/sysml1/collaboration.png"
"collaborationuse";"collaborationuse.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\collaborationuse.png";"icons-study/07-icones-sources/sysml1/collaborationuse.png"
"component";"component.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\component.png";"icons-study/07-icones-sources/sysml1/component.png"
"composition";"composition.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\composition.png";"icons-study/07-icones-sources/sysml1/composition.png"
"conform";"conform.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\conform.png";"icons-study/07-icones-sources/sysml1/conform.png"
"connector";"connector.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\connector.png";"icons-study/07-icones-sources/sysml1/connector.png"
"connectorproperty";"connectorproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\connectorproperty.png";"icons-study/07-icones-sources/sysml1/connectorproperty.png"
"constraint";"constraint.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraint.png";"icons-study/07-icones-sources/sysml1/constraint.png"
"constraintblock";"constraintblock.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintblock.png";"icons-study/07-icones-sources/sysml1/constraintblock.png"
"constraintblock48";"constraintblock48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintblock48.png";"icons-study/07-icones-sources/sysml1/constraintblock48.png"
"constraintproperty";"constraintproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintproperty.png";"icons-study/07-icones-sources/sysml1/constraintproperty.png"
"continuous";"continuous.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\continuous.png";"icons-study/07-icones-sources/sysml1/continuous.png"
"continuousparameter";"continuousparameter.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\continuousparameter.png";"icons-study/07-icones-sources/sysml1/continuousparameter.png"
"datatype";"datatype.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\datatype.png";"icons-study/07-icones-sources/sysml1/datatype.png"
"dependency";"dependency.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\dependency.png";"icons-study/07-icones-sources/sysml1/dependency.png"
"discrete";"discrete.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discrete.png";"icons-study/07-icones-sources/sysml1/discrete.png"
"discreteparameter";"discreteparameter.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discreteparameter.png";"icons-study/07-icones-sources/sysml1/discreteparameter.png"
"distributedproperty";"distributedproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\distributedproperty.png";"icons-study/07-icones-sources/sysml1/distributedproperty.png"
"elementimport";"elementimport.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\elementimport.png";"icons-study/07-icones-sources/sysml1/elementimport.png"
"enumeration";"enumeration.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumeration.png";"icons-study/07-icones-sources/sysml1/enumeration.png"
"enumerationliteral";"enumerationliteral.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumerationliteral.png";"icons-study/07-icones-sources/sysml1/enumerationliteral.png"
"flowport_in";"flowport_in.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_in.png";"icons-study/07-icones-sources/sysml1/flowport_in.png"
"flowport_indiagram";"flowport_indiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_indiagram.png";"icons-study/07-icones-sources/sysml1/flowport_indiagram.png"
"flowport_inout";"flowport_inout.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inout.png";"icons-study/07-icones-sources/sysml1/flowport_inout.png"
"flowport_inoutdiagram";"flowport_inoutdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inoutdiagram.png";"icons-study/07-icones-sources/sysml1/flowport_inoutdiagram.png"
"flowport_out";"flowport_out.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_out.png";"icons-study/07-icones-sources/sysml1/flowport_out.png"
"flowport_outdiagram";"flowport_outdiagram.png";"oui";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_outdiagram.png";"icons-study/07-icones-sources/sysml1/flowport_outdiagram.png"
"flowproperty";"flowproperty.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowproperty.png";"icons-study/07-icones-sources/sysml1/flowproperty.png"
"flowspecification";"flowspecification.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification.png";"icons-study/07-icones-sources/sysml1/flowspecification.png"
"flowspecification48";"flowspecification48.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification48.png";"icons-study/07-icones-sources/sysml1/flowspecification48.png"
"generalization";"generalization.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\generalization.png";"icons-study/07-icones-sources/sysml1/generalization.png"
"informationflow";"informationflow.png";"non";"non";"C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\informationflow.png";"icons-study/07-icones-sources/sysml1/informationflow.png"
