icone_sysml1;type_sysml2;concept_sysml2_definition;concept_sysml2_usage;action;confiance;commentaire;chemin_source;chemin_destination
block;element;PartDefinition;PartUsage;recolorer;haute;Block v1 se scinde en couple Definition/Usage;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\block.png;icons-study/07-icones-sources/sysml1/block.png
part;element;;PartUsage;recolorer;haute;Definition correspondante = PartDefinition, couverte par la ligne block;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\part.png;icons-study/07-icones-sources/sysml1/part.png
constraintblock;element;ConstraintDefinition;ConstraintUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintblock.png;icons-study/07-icones-sources/sysml1/constraintblock.png
constraintproperty;element;;ConstraintUsage;recolorer;haute;usage en tant que feature typee - Definition couverte par la ligne constraintblock - visuel coherent (symbole accolades {}), confirme comme la vraie base pour ConstraintUsage (verifie visuellement le 2026-09-24, a distinguer de constraint.png qui n'est pas pertinent);C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintproperty.png;icons-study/07-icones-sources/sysml1/constraintproperty.png
valuetype;element;AttributeDefinition;;recolorer;haute;ValueType v1 -> AttributeDefinition en v2 - icone contient les lettres VT gravees en dur dans les pixels, valable uniquement pour la Definition (verifie visuellement le 2026-09-24) - AttributeUsage retiree de cette ligne, couverte separement;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\valuetype.png;icons-study/07-icones-sources/sysml1/valuetype.png
flowspecification;element;ItemDefinition;ItemUsage;recolorer;moyenne;correspond au type de payload transporte (confirme dans Items.sysml), proche du role de FlowSpecification en v1;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification.png;icons-study/07-icones-sources/sysml1/flowspecification.png
flowproperty;element;;ItemUsage (direction in/out);derive;moyenne;en v2 la direction est un modificateur de feature (in/out) - Definition couverte par la ligne flowspecification;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowproperty.png;icons-study/07-icones-sources/sysml1/flowproperty.png
flowport_in;element;PortDefinition;PortUsage (direction in);derive;haute;confirme dans Ports.sysml - reprendre l'icone port + badge de direction, comme standard.parameter.io.png en UML;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_in.png;icons-study/07-icones-sources/sysml1/flowport_in.png
flowport_out;element;PortDefinition;PortUsage (direction out);derive;haute;idem flowport_in;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_out.png;icons-study/07-icones-sources/sysml1/flowport_out.png
flowport_inout;element;PortDefinition;PortUsage (direction inout);derive;haute;idem flowport_in;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowport_inout.png;icons-study/07-icones-sources/sysml1/flowport_inout.png
port;element;PortDefinition;PortUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\port.png;icons-study/07-icones-sources/sysml1/port.png
interface;element;InterfaceDefinition;InterfaceUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interface.png;icons-study/07-icones-sources/sysml1/interface.png
